,PRODUCT,OUTCOME_LEVEL
361,drink mix orange thc hybrid 40 mg,0.0011869170634455088
362,kraft cheddar cheese,0.0011783491611337066
363,members mark oh my dough colossal cookies,0.0011764019481396142
364,dragons breath,0.001164439434914445
365,fiber drink - nonspecific,0.001155905080415202
366,beyond raw lit,0.0011554522925797685
367,thorne basic nutrients,0.0011542048145999286
368,sabra roasted red pepper hummus,0.0011479936623434027
369,red onion,0.001140153753452225
370,mainland farms fresh strawberries,0.0011290449140843575
371,krill oil omega 3,0.0011259130983744406
372,dr. pepper,0.0011222633662445062
373,metamucil,0.0011218658261574978
374,cheerios,0.0011199743516902923
375,fount supplements,0.0011073102393289113
376,countertime tetrapeptide supreme cream,0.0011064254039326068
377,dove dry shampoo,0.0010988714198037796
378,white chocolate macadamia nut cookie,0.001098819947211575
379,solara labs ez melts dissolvable tablets,0.0010975470333313994
380,spark fruit punch sticks,0.0010876087333842712
381,nutrex research lipo-6 black ultra concentrate,0.0010844519812769939
382,hersheys cookie and cream candy bar,0.0010778751823560145
383,spore metabolic boost,0.0010778069168847389
384,ortiga mas ajo rey,0.0010763487776793916
385,physicians choice 60 billion probiotic,0.0010690694829629697
386,vitaquest vital reds,0.0010623854188782696
387,pepsi,0.0010528078748913096
388,trucontrol,0.001047154036901257
389,xyng fuel for life,0.0010430314942921125
390,onions,0.0010429831304638944
391,n-acetyl-l-cysteine,0.001040051829194976
392,french lentil leek crumbles,0.0010399283747666956
393,golden taste potato salad,0.0010376611556800412
394,pure encapsulations adrenal,0.001032549466372028
395,sweet obsession milk chocolate,0.0010304532052391715
396,cetaphil lotion,0.0010158528944957277
397,ageloc tr90 control,0.0010038009698116982
398,sundown alpha lipoic acid capsules,0.001002419331387324
399,advanced omega,0.0009971127644734222
400,aspartame,0.0009938075082115535
401,quorn,0.0009912226807587572
402,relief factor,0.0009891222215045582
403,align probiotic,0.0009886970979604442
404,doctors best fully active b complex with quatrefolic,0.0009773475709964619
405,cholestrade,0.0009695967352516606
406,planters cashew halve and pieces,0.0009689449496657205
407,womens balance,0.0009653066239158072
408,mccormick cumin spice,0.0009623745705201819
409,now foods vitamin b6,0.0009596673473519543
410,cvs health probiotic formula acidophilus supports digestive health tablets,0.0009592665602904801
411,now foods vein supreme,0.0009535201292495618
412,pharmanex lifepak nano,0.000950714351693883
413,goli ashwagandha gummies,0.0009396925644715976
414,cranberry,0.0009389059522771715
415,pure health research liver health formula,0.0009365538954593639
416,hostess donettes,0.0009340622619093731
417,sixstar pro products,0.0009339457620293276
418,real advantage nutrients ultra vital gold,0.0009272129560670518
419,arginine hcl,0.0009161818908709208
420,ritz crackers,0.000914650360729316
421,cbd american shaman delta 9 taffy,0.0009143919792285835
422,flax seed,0.0009059654089735687
423,ningxia red,0.0008968161982417592
424,pediasure grow,0.0008959055034665634
425,dark chocolate color cookies,0.0008938030796289066
426,rexall sundown osteo bi-flex triple strength,0.0008880848060460739
427,ag1,0.0008875616232691678
428,dg baby gripe water,0.0008869633865522672
429,triple double juice alley oop,0.0008831458991231829
430,thumbs up 7 red male enhancing natural performance,0.0008817268814645759
431,aloe vera,0.0008802492267901952
432,forward gold brain and body multinutrient,0.000879258209234949
433,medix select actalin,0.0008693012995446493
434,evolution nutrition bcaa lean energy,0.00086441337134047
435,nitraflex,0.0008630174985813686
436,chocolate chip cookie,0.0008575184707393689
437,isalean shake- strawberry- canister,0.0008533971250234681
438,alive once daily womens 50 ultra potency,0.0008516438579373274
439,primal labs glucoburn,0.000843475711278139
440,coastal green cbd natures relief full spectrum oil,0.0008340860300082515
441,american health ester-c 1000mg with citrus bioflavonoids vegetarian tablets,0.0008311827686974218
442,isaflush,0.0008283298175587632
443,ideal prostate,0.0008227188091396511
444,unicity,0.0008140740074921879
445,purology deep conditoner,0.0008140740074921879
446,thc and cbd tincture,0.0008086092247058024
447,dole fresh chopped salad kit ceasar,0.0008084722337894007
448,gluten free honey nut cheerios,0.0007992476106979922
449,ensure nutrition chocolate milk,0.0007926099688017067
450,glory feel colon detox,0.0007860010642572172
451,batiste dry shampoo,0.0007846680362948934
452,liquid i.v. hydration multiplier,0.0007826912643863953
453,medical diet - wheat pancakes,0.0007818530857477375
454,gnc pro performance bcaa,0.000774592206304271
455,taylor farms maple bourbon bacon chopped kit,0.000773061450050455
456,grown american superfood,0.0007683592771416605
457,mixed fruit,0.0007679969921103363
458,red panax ginseng extract,0.0007676771319084714
459,sarms 140,0.0007668819923919708
460,sucralose,0.0007655145391169762
461,olly goodbye stress,0.0007652307217159086
462,impossible burger made from plants,0.0007611385057113842
463,ortho-biotic,0.0007576073846582972
464,sprite lemon lime,0.0007545031835042593
465,signature cafe tomato basil bisque soup,0.0007515024384382788
466,starkist chunk light tuna in water,0.0007476382773298666
467,horny goat weed,0.0007469985946729153
468,irish spring bar original,0.0007447208905984272
469,nursery purified water,0.0007410614784088872
470,nucific bio-x4,0.0007390670526083747
471,trimstix fruit punch,0.0007390670526083747
472,nabisco wheat thins sundried tomato basil,0.0007363783216249872
473,jif to go natural creamy 8 individual cups,0.0007359151912053825
474,happytot organics fiber and protein gluten free oat bar banana and carrot,0.0007307087899197297
475,host defense mushrooms turkey tail extract,0.0007293669211438404
476,rsp l-carnitine tartrate,0.0007285716555217939
477,high protein boost high protein,0.0007266398798924456
478,belive elderberry gummies with propolis and echinacea,0.0007264351309735736
479,tribulus,0.0007243113657421344
480,alani nu balance,0.0007240708158455326
481,reliv luna rich,0.0007236201187015703
482,tasty bite organic indian channa masala,0.0007197559575931583
483,forager chocolate smoothie,0.0007193464597554142
484,smart balance chunky peanut butter and oil,0.0007171076359158316
485,qunol liquid turmeric extra strength,0.0007170786829801934
486,artificial sweeteners in products,0.0007120671650389926
487,diet ocean spray,0.0007115157630791541
488,body armor strawberry banana super drink,0.0007107991418631021
489,accelerate with thermolit,0.0006999389025873967
490,tianna red,0.0006985528112368653
491,methylisothiazolinone,0.0006969349656019208
492,gnc total lean cla,0.0006968845249395555
493,schiff glucosamine 1500mg plus msm 1500mg,0.0006968590890392203
494,"douglas laboratories methyl folate 1,000 mcg metafolin tablets",0.0006967616052840693
495,rsp nutrition amino lean energy formula fruit punch,0.0006901078678039892
496,bone and balance essentials,0.0006898714228044322
497,mannatech trushape herbal dietary supplement,0.0006875038948068506
498,wheat flour,0.000685834208857833
499,airborne immune support supplement,0.0006846861106990018
500,coloso calidad desde 1949,0.0006803792773260931
501,trufix,0.0006748715951226916
502,digiorno gluten free pizza,0.0006718221081791354
503,solaire nutraceuticals metaphenol 27,0.0006692605867035797
504,elevate smart coffee,0.0006663085835151744
505,just for men beard mustache,0.0006644382790136216
506,meditopic k-one,0.0006495729059455357
507,toms tp natural toddler training,0.0006441932792388747
508,yogi detox,0.0006425531896230902
509,dynamic ink,0.0006400251193695427
510,serovital-hgh,0.0006346902844311769
511,poland springs bottled water,0.0006301324366826015
512,parent choice mixed berry yogurt bites,0.000627750259883869
513,walgreens b-complex with vitamin c,0.000626009894073457
514,gaia herb prothroid,0.000625907519614021
515,biohm probiotics,0.0006243576211297646
516,stevia,0.0006230324549847165
517,l-glutamine,0.0006227136503229768
518,rsp cla 1000 conjugated linoleic acid max strength,0.0006215851187902895
519,topo chico variety 12 pack margarita hard seltzer tropical pinapple,0.000612861710875838
520,lipstick with dyes,0.0006119003096396083
521,wicked watermelon delta8 gummies,0.0006106273957594329
522,ouachita farms cbd and thc brownies,0.0006105299120042819
523,affinity whole health sleep,0.0006105299120042819
524,charlottes web hemp extract,0.0006078801414898998
525,zephyrhills florida spring water,0.0006077523311301286
526,vida tea,0.0006051675036773325
527,hum nutrition hair sweet hair,0.0005990912665738075
528,thc edible candy,0.0005965178113255843
529,ibgard,0.0005868563081521436
530,dye fdc yellow 6,0.0005867306277154673
531,carlyle beta sitosterol,0.0005857760879645555
532,c 500mg with rose hips chewable tablets,0.0005799978217531915
533,eos lip balm,0.0005780576688576353
534,msg,0.000573714535220956
535,oyster mushroom,0.0005728978400553064
536,clearlungs extra,0.0005720932794769325
537,dr natura colonix advanced internal cleansing kit,0.0005714992457384547
538,enzymedica the enzyme experts mucostop,0.0005691161631154289
539,rhodiola,0.0005629182744251838
540,southern grove trail mix,0.0005618680691696342
541,santo remedio super slim cafe,0.0005605415227075985
542,arizona sweet tea,0.0005577991591423502
543,duncan hines yellow cake mix,0.0005576967846829142
544,1md advanced turmeric curcumin x285,0.0005574129672818465
545,saf research 7-in-1 sarms,0.0005549305142884864
546,"slow-mag (magnesium, calcium) gastro-resistant tablet",0.0005544327674119159
547,selenium,0.0005538057795723078
548,mushroom wisdom maitake d fraction pro 4x,0.0005533725861139996
549,clinique extra mild facial soap in a tube,0.0005513734765583824
550,wildbrine korean kimchi,0.0005508616042612023
551,paradigm peptides sarms yk-11 dietary supplement,0.000550705597219906
552,knorr pesto sauce mix,0.0005506568553423303
553,water-soluble pumpkin seed extract,0.0005485725897069885
554,ready pac bistro cranberry walnut salad,0.0005467926942339183
555,enjoy life semi sweet chocolate mini chips,0.0005410744206510853
556,prothroid 10 preogesterone vitamin e and mct oil,0.0005409720461916494
557,publix orange soda,0.0005409720461916493
558,kind salted caramel dark chocolate almond,0.0005408696717322134
559,christies cookies oatmeal raisin cookie,0.0005408696717322134
560,valentus slimroast,0.0005408696717322134
561,grapes,0.0005342046237724074
562,finevine turmeric curcumin,0.0005324247282993372
563,old spice ap-do body spry wild collection deodorant body spray lionpride,0.0005317807573213606
564,uqora flush,0.0005314105280978061
565,vega protein and energy cold brew coffee,0.0005311473017642343
566,starbucks house blend,0.0005301357137451232
567,neorafit block balance pre probiotic,0.0005293400240468756
568,kaged muscle amino synergy caffeine raspberry lemonade,0.0005293145881465406
569,culterelle digestive daily probiotic,0.0005273852067565787
570,old bay seasoning,0.0005272828322971427
571,maca,0.0005256963752632187
572,true hope emplowerplus,0.0005256382897552009
573,urinozinc plus,0.0005256382897552008
574,arterin,0.0005256382897552008
575,core moringa super mix,0.0005255895478776253
576,essential everyday distilled water,0.0005206022757362688
577,ubiquinol,0.0005204194633185724
578,xanthan gum in bolthouse farm unsweetened milk,0.0005198873460593549
579,supplements,0.0005188589201589963
580,cannabis brownies,0.0005185383080573159
581,thyroid complex capsules,0.0005169624722340769
582,berryhill clover honey,0.0005160071131863803
583,high potency vitamin b and iron supplement,0.0005159047387269443
584,sunkist zero sugar orange soda,0.0005158023642675083
585,peaches,0.000512552449915712
586,badia ground nutmeg nuez moscada molida,0.0005116310797807882
587,zhou nutrition horny goat weed,0.0005115774471989278
588,neorafit cleanse calm nightly gentle cleanse,0.0005115774471989276
589,vans organic gluten free blueberry waffles,0.0005115287053213522
590,sour patch kids,0.0005115287053213522
591,the essential olly prenatal multi,0.0005115287053213522
592,king arthur flour,0.0005115287053213521
593,bee pollen capsules,0.0005110033926213518
594,peppermint cobalt 5 chewing gum,0.0005088858273327264
595,wonderful pistachios,0.0005078692931318121
596,saw palmetto,0.0005062728701728267
597,bulletproof brain octane oil,0.0005060263617176689
598,tumeric,0.0005054890683792391
599,gatorade,0.0005050147736985577
600,animal cuts,0.0005023059826441168
601,metabolic 6 fat metabolizing support formula,0.0005020928676641854
602,dermal repair complex,0.0005014923524254197
603,xr2,0.0005005709822904958
604,beauty avenues hand cream vanilla buttercream,0.0004985403492370144
605,trace mineral drops,0.0004980037446187628
606,bio complete 3,0.0004963460652219153
607,libido max,0.0004962973233443397
608,demograss plus,0.0004962485814667642
609,prostagenix,0.0004947393951698528
610,dole sweet kale,0.0004937548179936783
611,frozen pan ready white sardine fish,0.0004937548179936783
612,blue dream premium delta-8 joint,0.0004935500690748064
613,rmflex,0.0004932662516737387
614,weiders red yeast rice,0.000492250805835864
615,cremo hair and beard no 10,0.0004912469290999832
616,about time ve- vegan protein powder- vanilla flavor,0.0004911857539467655
617,wawona peaches,0.0004908515566828484
618,morningstar minerals inner vitality concentrate fulvic/humic minerals,0.0004908374312622393
619,nomadic vela,0.0004907350568028033
620,flavor god buffalo seasoning,0.0004907350568028033
621,new you keto ketogenic weight loss support,0.0004907350568028033
622,liberate plus suplemento alimenticio,0.0004907350568028033
623,monosodium glutamate natural flavorings,0.0004907350568028033
624,sunwarrior warrior blend plant-based organic protein vanilla,0.0004907350568028033
625,foods enriched fortified laced with folic acid,0.0004890462253094432
626,castleberrys hot dog chili sauce,0.0004866661467755191
627,cashews,0.0004865637723160832
628,fairlife core power chocolate milk shake,0.0004865637723160832
